Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
C_Ag_211_four-fold-s    5.1    2.985    2.965    0.89    2.26    8.5    4    -4.042    1.034    2.954    21.737    4.427    7.576    1.304    9.847    1.128    1.93    0.037    0.276    
C_Ag_211_fcc-s    5.653    2.985    2.963    0.89    2.26    8.333    3    -4.024    1.059    3.219    24.252    4.427    7.576    1.304    9.85    1.116    1.93    0.037    0.284    
C_Ag_211_hcp-s    5.642    2.985    2.955    0.89    2.26    7.667    3    -4.016    0.996    3.021    23.078    4.427    7.576    1.304    9.853    1.084    1.93    0.034    0.287    
C_Ag_211_hcp-t    5.676    2.985    2.976    0.89    2.26    9.333    3    -4.047    1.126    3.305    24.126    4.427    7.576    1.304    9.841    1.167    1.93    0.04    0.275    
C_AgAu_211_four-fold-s-1    5.136    2.988    2.961    0.95    2.805    8.5    4    -3.602    1.221    2.127    14.442    4.854    8.401    1.807    9.765    1.185    2.235    0.061    0.25    
C_AgAu_211_four-fold-s-2    4.72    2.988    2.961    0.95    2.805    8.5    4    -3.602    1.221    2.127    14.442    4.854    8.401    1.807    9.765    1.185    2.235    0.061    0.25    
C_AgAu_211_hcp-s-1    4.868    2.988    2.949    0.97    2.987    7.667    3    -3.457    1.215    2.055    14.388    4.996    8.676    1.974    9.763    1.186    2.337    0.064    0.269    
C_AgAu_211_hcp-s-2    4.889    2.987    2.951    0.93    2.623    7.667    3    -3.638    1.138    2.156    15.106    4.712    8.126    1.639    9.796    1.107    2.133    0.051    0.253    
C_AgAu_211_hcp-t-1    4.936    2.988    2.969    0.97    2.987    9.333    3    -3.564    1.316    2.077    13.572    4.996    8.676    1.974    9.74    1.266    2.337    0.072    0.249    
C_AgAu_211_hcp-t-2    5.775    2.987    2.976    0.93    2.623    9.333    3    -3.715    1.246    2.233    14.706    4.712    8.126    1.639    9.768    1.187    2.133    0.06    0.233    
C_AgPd_211_four-fold-s-1    2.719    2.902    2.88    0.915    2.52    8.5    4    -2.409    1.21    1.769    12.165    4.819    7.957    0.933    9.645    0.868    2.065    0.275    0.173    
C_AgPd_211_four-fold-s-2    3.462    2.902    2.88    0.915    2.52    8.5    4    -2.409    1.21    1.769    12.165    4.819    7.957    0.933    9.645    0.868    2.065    0.275    0.173    
C_AgPd_211_hcp-s-1    4.629    2.929    2.875    0.907    2.433    7.667    3    -2.732    1.111    2.005    13.125    4.688    7.83    1.057    9.731    0.856    2.02    0.191    0.184    
C_AgPd_211_hcp-s-2    3.282    2.874    2.866    0.923    2.607    7.667    3    -2.026    1.214    1.576    12.415    4.949    8.083    0.809    9.584    0.803    2.11    0.379    0.179    
C_AgPd_211_hcp-t-1    3.277    2.874    2.88    0.923    2.607    9.333    3    -2.108    1.318    1.526    10.879    4.949    8.083    0.809    9.551    0.885    2.11    0.394    0.16    
C_Au_211_four-fold-s    4.712    2.99    2.967    1.01    3.35    8.5    4    -3.223    1.395    1.453    9.6    5.28    9.226    2.309    9.718    1.257    2.54    0.088    0.237    
C_Au_211_bridge2-s    5.139    2.99    2.936    1.01    3.35    7.0    2    -3.127    1.323    1.431    10.044    5.28    9.226    2.309    9.732    1.2    2.54    0.079    0.26    
C_Au_211_fcc-s    4.725    2.99    2.967    1.01    3.35    8.333    3    -3.182    1.396    1.458    9.76    5.28    9.226    2.309    9.734    1.254    2.54    0.091    0.242    
C_Au_211_hcp-s    4.627    2.99    2.951    1.01    3.35    7.667    3    -3.155    1.359    1.444    9.9    5.28    9.226    2.309    9.734    1.227    2.54    0.085    0.251    
C_Au_211_fcc-t    4.991    2.99    2.993    1.01    3.35    9.667    3    -3.283    1.455    1.473    9.308    5.28    9.226    2.309    9.715    1.303    2.54    0.098    0.22    
C_Au_211_hcp-t    4.92    2.99    2.988    1.01    3.35    9.333    3    -3.246    1.444    1.473    9.465    5.28    9.226    2.309    9.724    1.292    2.54    0.098    0.227    
C_Cu_211_four-fold-s    3.321    2.603    2.577    0.67    1.0    8.5    4    -2.372    1.044    1.711    14.207    4.719    7.726    1.236    9.714    1.208    1.9    0.097    0.244    
C_Cu_211_fcc-s    4.19    2.603    2.573    0.67    1.0    8.333    3    -2.355    1.063    1.935    15.964    4.719    7.726    1.236    9.692    1.202    1.9    0.1    0.247    
C_Cu_211_hcp-s    4.112    2.603    2.564    0.67    1.0    7.667    3    -2.319    1.009    1.693    14.788    4.719    7.726    1.236    9.708    1.166    1.9    0.095    0.256    
C_Cu_211_hcp-t    4.29    2.603    2.587    0.67    1.0    9.333    3    -2.415    1.122    2.107    16.356    4.719    7.726    1.236    9.687    1.255    1.9    0.105    0.234    
C_Ag@Cu_211_four-fold-s-1    3.806    2.698    2.621    0.725    1.315    8.5    4    -2.855    1.096    2.1    15.619    4.646    7.688    1.253    9.765    1.167    1.908    0.085    0.25    
C_Ag@Cu_211_four-fold-s-2    3.378    2.603    2.575    0.67    1.0    8.5    4    -2.394    1.056    1.596    13.849    4.719    7.726    1.236    9.764    1.23    1.9    0.097    0.257    
C_Ag@Cu_211_fcc-s-1    4.678    2.73    2.646    0.743    1.42    8.333    3    -2.98    1.057    1.947    14.545    4.622    7.676    1.259    9.741    1.128    1.91    0.084    0.255    
C_Ag@Cu_211_fcc-s-2    4.069    2.603    2.576    0.67    1.0    8.333    3    -2.375    1.035    1.481    13.354    4.719    7.726    1.236    9.756    1.219    1.9    0.099    0.262    
C_Ag@Cu_211_hcp-s-2    4.181    2.603    2.559    0.67    1.0    7.667    3    -2.348    1.021    1.475    13.783    4.719    7.726    1.236    9.782    1.194    1.9    0.094    0.274    
C_Ag@Cu_211_hcp-t-1    4.219    2.603    2.602    0.67    1.0    9.333    3    -2.429    1.061    1.457    12.641    4.719    7.726    1.236    9.728    1.272    1.9    0.104    0.245    
C_Ag@Cu_211_hcp-t-2    4.311    2.603    2.591    0.67    1.0    9.333    3    -2.427    1.088    1.721    13.933    4.719    7.726    1.236    9.734    1.257    1.9    0.105    0.24    
C_Ir_211_four-fold-s    1.608    2.753    2.727    1.08    4.45    8.5    4    -1.846    2.584    0.717    4.829    5.489    9.121    1.564    7.753    1.272    2.2    1.436    0.178    
C_Ir_211_bridge2-s    1.776    2.753    2.699    1.08    4.45    7.0    2    -1.706    2.442    0.66    4.932    5.489    9.121    1.564    7.8    1.214    2.2    1.538    0.258    
C_Ir_211_fcc-s    2.282    2.753    2.709    1.08    4.45    8.333    3    -1.919    2.605    0.689    4.572    5.489    9.121    1.564    7.721    1.278    2.2    1.354    0.167    
C_Ir_211_hcp-s    1.46    2.753    2.704    1.08    4.45    7.667    3    -1.813    2.522    0.671    4.737    5.489    9.121    1.564    7.761    1.246    2.2    1.446    0.213    
C_Ir_211_fcc-t    2.189    2.753    2.741    1.08    4.45    9.667    3    -2.0    2.712    0.747    4.601    5.489    9.121    1.564    7.699    1.323    2.2    1.311    0.106    
C_Ir_211_hcp-t    2.021    2.753    2.728    1.08    4.45    9.333    3    -2.013    2.697    0.721    4.475    5.489    9.121    1.564    7.69    1.316    2.2    1.287    0.114    
C_Pd@Ir_211_four-fold-s-1    1.673    2.77    2.746    1.045    4.032    8.5    4    -1.954    2.371    0.701    5.123    5.42    8.925    1.314    8.1    1.169    2.2    1.257    0.161    
C_Pd@Ir_211_four-fold-s-2    1.786    2.753    2.723    1.08    4.45    8.5    4    -1.863    2.581    0.738    4.898    5.489    9.121    1.564    7.743    1.265    2.2    1.479    0.182    
C_Pd@Ir_211_bridge2-s-1    2.419    2.786    2.742    1.01    3.615    7.0    2    -1.915    2.013    0.628    5.531    5.35    8.729    1.063    8.502    1.017    2.2    1.179    0.218    
C_Pd@Ir_211_bridge2-s-2    1.987    2.753    2.692    1.08    4.45    7.0    2    -1.717    2.428    0.704    5.109    5.489    9.121    1.564    7.798    1.203    2.2    1.659    0.262    
C_Pd@Ir_211_fcc-s-1    2.308    2.775    2.747    1.033    3.893    8.333    3    -1.997    2.273    0.653    5.014    5.396    8.86    1.23    8.196    1.139    2.2    1.148    0.152    
C_Pd@Ir_211_fcc-s-2    2.038    2.753    2.708    1.08    4.45    8.333    3    -1.881    2.611    0.765    4.967    5.489    9.121    1.564    7.715    1.264    2.2    1.446    0.175    
C_Pd@Ir_211_hcp-s-1    1.827    2.775    2.736    1.033    3.893    7.667    3    -1.923    2.212    0.653    5.202    5.396    8.86    1.23    8.232    1.109    2.2    1.243    0.192    
C_Pd@Ir_211_hcp-s-2    1.588    2.753    2.697    1.08    4.45    7.667    3    -1.806    2.55    0.765    5.155    5.489    9.121    1.564    7.751    1.234    2.2    1.542    0.215    
C_Pd@Ir_211_fcc-t-1    2.19    2.753    2.741    1.08    4.45    9.667    3    -1.974    2.689    0.75    4.659    5.489    9.121    1.564    7.696    1.311    2.2    1.347    0.117    
C_Pd@Ir_211_fcc-t-2    2.182    2.753    2.738    1.08    4.45    9.667    3    -2.002    2.753    0.81    4.873    5.489    9.121    1.564    7.677    1.317    2.2    1.302    0.108    
C_Pd@Ir_211_hcp-t-1    1.772    2.753    2.732    1.08    4.45    9.333    3    -1.95    2.648    0.727    4.612    5.489    9.121    1.564    7.697    1.299    2.2    1.372    0.13    
C_Pd@Ir_211_hcp-t-2    2.028    2.753    2.729    1.08    4.45    9.333    3    -1.978    2.712    0.788    4.826    5.489    9.121    1.564    7.678    1.305    2.2    1.326    0.121    
C_IrRu_211_four-fold-s-1    1.345    2.743    2.712    1.065    4.16    8.5    4    -1.568    2.356    0.636    4.707    5.189    8.241    1.305    7.367    1.073    2.2    1.537    0.219    
C_IrRu_211_four-fold-s-2    1.339    2.743    2.712    1.065    4.16    8.5    4    -1.568    2.356    0.636    4.707    5.189    8.241    1.305    7.367    1.073    2.2    1.537    0.219    
C_IrRu_211_bridge2-s-1    2.043    2.743    2.689    1.065    4.16    7.0    2    -1.446    2.214    0.595    4.915    5.189    8.241    1.305    7.398    1.005    2.2    1.807    0.322    
C_IrRu_211_fcc-s-1    2.367    2.746    2.698    1.07    4.257    8.333    3    -1.694    2.404    0.728    4.801    5.289    8.534    1.391    7.456    1.118    2.2    1.556    0.229    
C_IrRu_211_fcc-s-2    2.358    2.739    2.701    1.06    4.063    8.333    3    -1.531    2.352    0.573    4.588    5.089    7.948    1.219    7.234    1.027    2.2    1.702    0.184    
C_IrRu_211_hcp-s-1    1.458    2.746    2.694    1.07    4.257    7.667    3    -1.614    2.327    0.712    4.987    5.289    8.534    1.391    7.472    1.087    2.2    1.643    0.272    
